symbol,strategy,price,ma30,vol_ratio
PFE,Weinstein,27.219999313354492,25.44336077372233,0.9156247351997793
FCX,Weinstein,60.66999816894531,58.088887532552086,0.7934848195245537
GE,Weinstein,321.0,312.4969411214193,0.8989553469161757
C,Weinstein,122.69000244140625,116.96414540608724,1.0057168416750535
TXN,Weinstein,221.44000244140625,194.89778900146484,0.9717373779472226
CTAS,Weinstein,195.8699951171875,191.50900065104167,0.8819898149622433
COP,Weinstein,107.62000274658203,98.5936668395996,0.7399889581681075
BA,Weinstein,243.02999877929688,235.7566660563151,0.7679021379230457
COST,Weinstein,1001.1599731445312,934.4230753580729,0.8891020243251305
AAPL,Weinstein,278.1199951171875,262.9636647542318,0.8863598548197169
LRCX,Weinstein,231.00999450683594,212.10300038655598,0.992788004633465
SHW,Weinstein,361.9800109863281,346.5856669108073,1.1611713756836763
CSCO,Weinstein,84.81999969482422,76.9844228108724,1.0762204146337293
CAT,Weinstein,726.2000122070312,633.7366821289063,1.1695260847534654
RTX,Weinstein,198.66000366210938,193.89933268229166,0.6734319417000835
MRK,Weinstein,121.93000030517578,110.00933329264323,0.9398526493373244
VRTX,Weinstein,477.9200134277344,462.772998046875,1.1004541104119576
PEP,Weinstein,170.49000549316406,147.71966756184895,1.1261259640935066
VZ,Weinstein,46.310001373291016,40.85207926432292,0.9321875327900162
LIN,Weinstein,448.239990234375,443.3326670328776,1.2453486868927937
PSX,Weinstein,157.8000030517578,140.0663324991862,0.9813296903460837
DE,Weinstein,583.1099853515625,507.919032796224,0.9626604823995669
ADI,Weinstein,320.45001220703125,298.8126678466797,1.6745326447358502
LOW,Weinstein,278.3800048828125,263.4881256103516,0.7381019520423946
SCHW,Weinstein,105.08000183105469,102.52666676839193,0.7601975034808549
GILD,Weinstein,152.5,130.59133275349936,1.0419578493043757
BAC,Weinstein,56.529998779296875,54.31766649881999,1.0302098253366505
ASML,Weinstein,1413.010009765625,1292.038993326823,0.8423487263018612
TGT,Weinstein,115.55000305175781,105.60799942016601,1.1692897898629182
BIIB,Weinstein,201.17999267578125,177.79399973551432,2.030896253851592
AMGN,Weinstein,384.32000732421875,338.8070017496745,1.2440543307800978
PCAR,Weinstein,127.3499984741211,119.52366663614909,1.2701295696436834
T,Weinstein,27.1299991607666,24.499577776590982,0.733475433731548
REGN,Weinstein,785.510009765625,766.2133341471355,0.7471331519471198
CVX,Weinstein,180.86000061035156,164.94399922688802,0.808387598108413
MRNA,Weinstein,41.0099983215332,39.5136666615804,0.5835883502216371
AMAT,Weinstein,322.510009765625,303.17966715494794,0.9799152481573001
SLB,Weinstein,50.70000076293945,45.68033358256022,0.7152416149895836
HD,Weinstein,385.1499938964844,369.1506673177083,1.0206372600892606
XOM,Weinstein,149.0500030517578,130.7913330078125,0.8071003213794621
SBUX,Weinstein,99.44999694824219,91.33866678873697,0.7037692635342258
UPS,Weinstein,117.33999633789062,106.70200042724609,0.9928690956532384
KLAC,Weinstein,1442.949951171875,1418.8183186848958,1.112405255089939
JNJ,Weinstein,239.99000549316406,217.67333424886067,0.8349808856999186
INTC,Weinstein,50.59000015258789,44.82300033569336,0.7653648305447047
LMT,Weinstein,623.5800170898438,561.2733317057292,0.5372691843285853
NEM,Weinstein,115.31999969482422,113.28766632080078,0.9659261985960204
APD,Weinstein,283.1199951171875,262.2145517985026,0.6540186271127976
CMCSA,Weinstein,31.3700008392334,28.61994400024414,0.7959332834697601
MAR,Weinstein,333.239990234375,319.3720011393229,0.9494452121878899
NKE,Weinstein,63.91999816894531,63.643333180745444,0.8206373092850316
MCD,Weinstein,327.1600036621094,310.6453338623047,0.9004266769293892
HON,Weinstein,238.3800048828125,214.03233439127604,0.7506222922261631
BRK-B,Weinstein,508.0899963378906,492.92999776204425,0.8400620614240157
MPC,Weinstein,203.0,175.74766693115234,0.9601161163236742
MDLZ,Weinstein,60.02000045776367,56.485039774576826,0.8951469354319022
MNST,Weinstein,82.54000091552734,79.09566701253256,0.661673976895515
DOW,Weinstein,31.780000686645508,26.97833334604899,0.6235674674597431
