symbol,strategy,price,ma30,vol_ratio,reason
K,Weinstein,83.44000244140625,82.87662506103516,8.941812167167395,30일선 상승돌파
AZN,Weinstein,193.39999389648438,185.7473337809245,2.471860196287314,30일선 상승돌파
MAR,Weinstein,359.3500061035156,321.3660013834635,2.4050138974768425,30일선 상승돌파
ON,Weinstein,67.37999725341797,60.888999938964844,1.9699103359896664,30일선 상승돌파
GFS,Weinstein,41.900001525878906,41.304833221435544,1.9015314047236915,30일선 상승돌파
ECL,Weinstein,299.6199951171875,277.56299947102866,1.7652527824392878,30일선 상승돌파
ALGN,Weinstein,196.27000427246094,168.47999928792316,1.6301876410949372,30일선 상승돌파
DD,Weinstein,49.43000030517578,43.897999954223636,1.5690014102478007,30일선 상승돌파
HLT,Weinstein,323.70001220703125,299.43833211263023,1.515558993857425,30일선 상승돌파
DUK,Weinstein,123.63999938964844,119.1740000406901,1.460666955468522,30일선 상승돌파
KO,Weinstein,76.80999755859375,72.47900060017903,1.4304960511924811,30일선 상승돌파
VRTX,Weinstein,463.4800109863281,463.05499877929685,1.402610074399317,30일선 상승돌파
CSCO,Weinstein,86.29000091552734,77.57513224283854,1.3969949306183471,30일선 상승돌파
CAT,Weinstein,742.3699951171875,644.4184631347656,1.3299809979006414,30일선 상승돌파
KHC,Weinstein,24.899999618530273,23.77650000254313,1.3203586640823373,30일선 상승돌파
CTAS,Weinstein,199.30999755859375,191.90066731770833,1.3121816866950808,30일선 상승돌파
GILD,Weinstein,147.22999572753906,132.20933252970377,1.2844862634033232,30일선 상승돌파
GS,Weinstein,948.989990234375,933.37099609375,1.2747961741538663,30일선 상승돌파
HSY,Weinstein,229.0,196.10933329264324,1.254257288243175,30일선 상승돌파
KDP,Weinstein,28.709999084472656,27.74225393931071,1.2487229709653684,30일선 상승돌파
MNST,Weinstein,80.16999816894531,79.30700047810872,1.230673513406725,30일선 상승돌파
XEL,Weinstein,77.5,75.28700052897135,1.2022857634815922,30일선 상승돌파
UNP,Weinstein,261.32000732421875,234.775,1.1831391216106908,30일선 상승돌파
MCHP,Weinstein,76.86000061035156,73.91133371988933,1.1826524817547601,30일선 상승돌파
D,Weinstein,63.790000915527344,60.16500027974447,1.156853021397004,30일선 상승돌파
SYK,Weinstein,361.05999755859375,359.4004689534505,1.1294589825504284,30일선 상승돌파
MCD,Weinstein,325.9700012207031,311.5640014648437,1.1132157392254438,30일선 상승돌파
AMGN,Weinstein,364.6499938964844,341.2596689860026,1.1103711575550046,30일선 상승돌파
DE,Weinstein,593.4099731445312,516.1169616699219,1.0956758063802035,30일선 상승돌파
CB,Weinstein,326.25,310.2616689046224,1.0693136252414324,30일선 상승돌파
EOG,Weinstein,112.69999694824219,107.93193181355794,1.0672920729750413,30일선 상승돌파
BIIB,Weinstein,188.99000549316406,178.77366638183594,1.0564137970714307,30일선 상승돌파
PEP,Weinstein,166.97000122070312,149.25033416748047,1.0548662935957058,30일선 상승돌파
ROST,Weinstein,192.3300018310547,188.66866658528645,1.0418502908607234,30일선 상승돌파
ODFL,Weinstein,194.49000549316406,176.58433430989584,1.0396389364235892,30일선 상승돌파
AEP,Weinstein,121.2300033569336,117.08882369995118,1.0326555978710683,30일선 상승돌파
CHTR,Weinstein,248.19000244140625,206.0009989420573,1.0285497406485893,30일선 상승돌파
MDT,Weinstein,101.41999816894531,99.67733281453451,1.0195582200343496,30일선 상승돌파
CME,Weinstein,306.760009765625,281.55333353678384,1.0120167200817665,30일선 상승돌파
FTNT,Weinstein,85.52999877929688,79.73766733805338,1.0113937197476985,30일선 상승돌파
EXC,Weinstein,44.63999938964844,44.03900006612142,1.0032769073392322,30일선 상승돌파
ARM,Weinstein,125.94999694824219,112.12333297729492,1.0002199872327824,30일선 상승돌파
MDLZ,Weinstein,60.650001525878906,56.922263844807944,0.9981621761863703,30일선 상승돌파
SO,Weinstein,90.72000122070312,88.38133341471354,0.9931834124838257,30일선 상승돌파
CCEP,Weinstein,96.18000030517578,90.72999928792318,0.9909926827283596,30일선 상승돌파
LIN,Weinstein,460.510009765625,445.57200113932294,0.9802821202924278,30일선 상승돌파
LOW,Weinstein,284.6700134277344,266.02977752685547,0.9745424379115466,30일선 상승돌파
CI,Weinstein,287.80999755859375,277.9320007324219,0.9660868477036666,30일선 상승돌파
MO,Weinstein,64.4000015258789,60.70866724650065,0.9604128507827854,30일선 상승돌파
EQIX,Weinstein,856.739990234375,799.962333170573,0.9596301308073973,30일선 상승돌파
NOC,Weinstein,685.0,649.8639994303386,0.9376884865662712,30일선 상승돌파
SPG,Weinstein,196.3000030517578,187.62533365885417,0.9285210949003178,30일선 상승돌파
DOW,Weinstein,33.599998474121094,27.62266667683919,0.9167796999652258,30일선 상승돌파
CSX,Weinstein,40.900001525878906,37.16299985249837,0.9113357638950508,30일선 상승돌파
BMY,Weinstein,60.86000061035156,55.8478286743164,0.8851089644702816,30일선 상승돌파
RTX,Weinstein,195.19000244140625,194.56033274332682,0.8721014119344532,30일선 상승돌파
O,Weinstein,63.900001525878906,59.906639862060544,0.8698010693979874,30일선 상승돌파
STZ,Weinstein,165.6300048828125,153.87122039794923,0.8629432264488411,30일선 상승돌파
WM,Weinstein,231.72000122070312,223.50933329264322,0.8555717323222273,30일선 상승돌파
UPS,Weinstein,118.69999694824219,107.88266677856446,0.8541909983760183,30일선 상승돌파
EMR,Weinstein,161.69000244140625,147.29200134277343,0.8444536781039745,30일선 상승돌파
CMCSA,Weinstein,32.310001373291016,28.915207290649413,0.8368010764913794,30일선 상승돌파
