symbol,strategy,stage,price,sma30w,vol_ratio,rsm,pct_from_high,reason
AZN,Weinstein,Stage 2A (돌파),193.39999389648438,170.5900095621745,3.9929834891195015,11.505454873597065,98.72383865345039,30주선 돌파 격발 | Vol 4.0x 폭증 | 52주고가 99% | RS+11.5
EA,Weinstein,Stage 2 (상승),202.5800018310547,191.45279897054036,1.957261678065195,7.910588898501736,98.87256695520765,Stage 2 상승 유지 | Vol 2.0x | 52주고가 99% | RS+7.9
ODFL,Weinstein,Stage 2 (상승),194.49000549316406,153.28359375,1.7447114790822866,12.093853846774394,93.17332584794501,Stage 2 상승 유지 | Vol 1.7x | 52주고가 93% | RS+12.1
ITW,Weinstein,Stage 2 (상승),294.25,255.95716959635416,1.740176370993574,6.593254385878278,99.64780097029133,Stage 2 상승 유지 | Vol 1.7x | 52주고가 100% | RS+6.6
LLY,Weinstein,Stage 2 (상승),1025.0,902.8522928873698,1.6596368530824797,9.00143895045995,90.39199648456432,Stage 2 상승 유지 | Vol 1.7x | 52주고가 90% | RS+9.0
EMR,Weinstein,Stage 2 (상승),161.69000244140625,136.87420349121095,1.584074504191142,14.766492256544916,98.86878383228878,Stage 2 상승 유지 | Vol 1.6x | 52주고가 99% | RS+14.8
GOOGL,Weinstein,Stage 2 (상승),318.5799865722656,272.09642232259114,1.5791207144398676,29.37782289521205,91.28366377428814,Stage 2 상승 유지 | Vol 1.6x | 52주고가 91% | RS+29.4
DVN,Weinstein,Stage 2 (상승),43.47999954223633,35.54197928110759,1.5433706506311466,15.567987577344077,98.77328280347143,Stage 2 상승 유지 | Vol 1.5x | 52주고가 99% | RS+15.6
MRK,Weinstein,Stage 2 (상승),117.1500015258789,93.74472198486328,1.5388731481807074,21.02323146963474,95.50790643100841,Stage 2 상승 유지 | Vol 1.5x | 52주고가 96% | RS+21.0
HSY,Weinstein,Stage 2 (상승),229.0,187.51445617675782,1.5323580300814754,17.309752711314985,97.50074712001476,Stage 2 상승 유지 | Vol 1.5x | 52주고가 98% | RS+17.3
CAT,Weinstein,Stage 2 (상승),742.3699951171875,537.1880177815755,1.530234941871443,50.98165479935515,98.71941424430685,Stage 2 상승 유지 | Vol 1.5x | 52주고가 99% | RS+51.0
GOOG,Weinstein,Stage 2 (상승),318.6300048828125,272.72998046875,1.478712488112449,28.789684083527554,90.99814663341384,Stage 2 상승 유지 | Vol 1.5x | 52주고가 91% | RS+28.8
PEP,Weinstein,Stage 2 (상승),166.97000122070312,146.41568756103516,1.4710531289346263,6.9119574172565645,97.78623790377928,Stage 2 상승 유지 | Vol 1.5x | 52주고가 98% | RS+6.9
MPC,Weinstein,Stage 2 (상승),204.14999389648438,181.60360107421874,1.459817613728489,10.78133616271466,98.88592730164369,Stage 2 상승 유지 | Vol 1.5x | 52주고가 99% | RS+10.8
ADI,Weinstein,Stage 2 (상승),325.1600036621094,258.7850728352865,1.4547089811126814,24.410724588433077,99.20976465663138,Stage 2 상승 유지 | Vol 1.5x | 52주고가 99% | RS+24.4
CSCO,Weinstein,Stage 2 (상승),86.29000091552734,72.65265324910482,1.420807176068241,15.983223060249486,97.84555905059503,Stage 2 상승 유지 | Vol 1.4x | 52주고가 98% | RS+16.0
AMD,Weinstein,Stage 2 (상승),213.57000732421875,203.42666575113932,1.4190398248482603,20.22442789607759,79.96481131559129,Stage 2 상승 유지 | Vol 1.4x | 52주고가 80% | RS+20.2
PSX,Weinstein,Stage 2 (상승),157.30999755859375,133.95493596394857,1.416357581129575,13.965394712181922,98.8438602523055,Stage 2 상승 유지 | Vol 1.4x | 52주고가 99% | RS+14.0
FDX,Weinstein,Stage 2 (상승),367.95001220703125,265.7230768839518,1.3941072366642695,35.36315769800393,99.21534453446826,Stage 2 상승 유지 | Vol 1.4x | 52주고가 99% | RS+35.4
DE,Weinstein,Stage 2 (상승),593.4099731445312,486.6788747151693,1.3795700678728218,10.61089036570133,99.94104745767032,Stage 2 상승 유지 | Vol 1.4x | 52주고가 100% | RS+10.6
MNST,Weinstein,Stage 2 (상승),80.16999816894531,70.6966667175293,1.3610052685302005,10.92684165070963,96.31186956558004,Stage 2 상승 유지 | Vol 1.4x | 52주고가 96% | RS+10.9
ILMN,Weinstein,Stage 2 (상승),119.31999969482422,116.22000045776367,1.3609235855838286,6.417984993238401,76.7183184153071,Stage 2 상승 유지 | Vol 1.4x | 52주고가 77% | RS+6.4
BIIB,Weinstein,Stage 2 (상승),188.99000549316406,159.417333984375,1.3586720234202248,17.58191428748479,93.36989381644011,Stage 2 상승 유지 | Vol 1.4x | 52주고가 93% | RS+17.6
