symbol,name,strategy,stage,price,confidence,vol_ratio,reason,status
000250.KQ,삼천당제약,K-SEPA,Setup 대기,513000.0,0.3,0.9940219100559932,TT통과 | VCP/돌파 대기,
047050.KS,포스코인터내셔널,K-SEPA,Setup 대기,64000.0,0.3,0.6502363312466224,TT통과 | VCP/돌파 대기,
278470.KS,에이피알,K-SEPA,Setup 대기,275500.0,0.3,1.7364098732734414,TT통과 | VCP/돌파 대기,
005940.KS,NH투자증권,K-SEPA,Setup 대기,28450.0,0.3,1.7840319113295684,TT통과 | VCP/돌파 대기,
090430.KS,아모레퍼시픽,K-SEPA,Setup 대기,164200.0,0.3,1.7921856679993817,TT통과 | VCP/돌파 대기,
005387.KS,현대차2우B,K-SEPA,Setup 대기,255500.0,0.3,0.8649315917987674,TT통과 | VCP/돌파 대기,
161390.KS,한국타이어앤테크놀로지,K-SEPA,Setup 대기,73700.0,0.3,1.2867161306159205,TT통과 | VCP/돌파 대기,
000880.KS,한화,K-SEPA,Setup 대기,114500.0,0.3,0.669975374949559,TT통과 | VCP/돌파 대기,
016360.KS,삼성증권,K-SEPA,Setup 대기,95600.0,0.3,1.4710669417756548,TT통과 | VCP/돌파 대기,
180640.KS,한진칼,K-SEPA,Setup 대기,124600.0,0.3,1.2974486598788693,TT통과 | VCP/돌파 대기,
128940.KS,한미약품,K-SEPA,Setup 대기,591000.0,0.3,1.5408440444320062,TT통과 | VCP/돌파 대기,
950160.KQ,코오롱티슈진,K-SEPA,Setup 대기,93500.0,0.3,0.4813796046031806,TT통과 | VCP/돌파 대기,
006260.KS,LS,K-SEPA,Setup 대기,218500.0,0.3,0.49240109309148883,TT통과 | VCP/돌파 대기,
032640.KS,LG유플러스,K-SEPA,Setup 대기,16020.0,0.3,0.6953586906050347,TT통과 | VCP/돌파 대기,
029780.KS,삼성카드,K-SEPA,Setup 대기,60600.0,0.3,1.6456818376224966,TT통과 | VCP/돌파 대기,
454910.KS,두산로보틱스,K-SEPA,Setup 대기,104100.0,0.3,0.347440802809019,TT통과 | VCP/돌파 대기,
267270.KS,HD건설기계,K-SEPA,Setup 대기,130200.0,0.3,2.548561559164136,TT통과 | VCP/돌파 대기,
001040.KS,CJ,K-SEPA,Setup 대기,223000.0,0.3,1.426522550779824,TT통과 | VCP/돌파 대기,
078930.KS,GS,K-SEPA,Setup 대기,70000.0,0.3,1.2912900331332768,TT통과 | VCP/돌파 대기,
214370.KQ,케어젠,K-SEPA,Setup 대기,118100.0,0.3,0.39743304112408284,TT통과 | VCP/돌파 대기,
138930.KS,BNK금융지주,K-SEPA,Setup 대기,19700.0,0.3,0.9516472407974287,TT통과 | VCP/돌파 대기,
241560.KS,두산밥캣,K-SEPA,Setup 대기,62200.0,0.3,1.074627725094973,TT통과 | VCP/돌파 대기,
005385.KS,현대차우,K-SEPA,Setup 대기,252000.0,0.3,0.6256696686431241,TT통과 | VCP/돌파 대기,
175330.KS,JB금융지주,K-SEPA,Setup 대기,29800.0,0.3,0.8572783118125445,TT통과 | VCP/돌파 대기,
001440.KS,대한전선,K-SEPA,Setup 대기,31100.0,0.3,0.48519715697183635,TT통과 | VCP/돌파 대기,
022100.KS,포스코DX,K-SEPA,Setup 대기,38550.0,0.3,0.26878592685371167,TT통과 | VCP/돌파 대기,
052690.KS,한전기술,K-SEPA,Setup 대기,146000.0,0.3,0.6386815778569506,TT통과 | VCP/돌파 대기,
002380.KS,KCC,K-SEPA,Setup 대기,489500.0,0.3,0.6666537044558319,TT통과 | VCP/돌파 대기,
062040.KS,산일전기,K-SEPA,Setup 대기,155000.0,0.3,1.2148698527527546,TT통과 | VCP/돌파 대기,
066970.KS,엘앤에프,K-SEPA,Setup 대기,118000.0,0.3,0.46014389731815875,TT통과 | VCP/돌파 대기,
082740.KS,한화엔진,K-SEPA,Setup 대기,54500.0,0.3,0.44681036442292504,TT통과 | VCP/돌파 대기,
140410.KQ,메지온,K-SEPA,Setup 대기,151700.0,0.3,0.41430585799343567,TT통과 | VCP/돌파 대기,
