symbol,price,ma30,vol_ratio
AAPL,278.1199951171875,262.9636647542318,0.8863598548197169
CSCO,84.81999969482422,76.9844228108724,1.0762204146337293
BAC,56.529998779296875,54.31766649881999,1.0302098253366505
BRK-B,508.0899963378906,492.92999776204425,0.8400620614240157
JNJ,239.99000549316406,217.67333424886067,0.8349808856999186
PFE,27.219999313354492,25.44336077372233,0.9156247351997793
HD,385.1499938964844,369.1506673177083,1.0206372600892606
MCD,327.1600036621094,310.6453338623047,0.9004266769293892
SBUX,99.44999694824219,91.33866678873697,0.7037692635342258
COST,1001.1599731445312,934.4230753580729,0.8891020243251305
NKE,63.91999816894531,63.643333180745444,0.8206373092850316
XOM,149.0500030517578,130.7913330078125,0.8071003213794621
CVX,180.86000061035156,164.94399922688802,0.808387598108413
COP,107.62000274658203,98.5936668395996,0.7399889581681075
BA,243.02999877929688,235.7566660563151,0.7679021379230457
CAT,726.2000122070312,633.7366821289063,1.1695260847534654
